Profit,Date
-111.81547913213014,2019-03-29 04:00:00
-110.69732434080883,2019-04-05 00:00:00
-109.59035109740076,2019-04-22 08:00:00
-108.49444758642674,2019-04-24 00:00:00
-107.40950311056247,2019-04-26 00:00:00
-106.33540807945685,2019-04-30 20:00:00
263.1801349966501,2019-05-06 00:00:00
269.7596383715749,2019-05-07 00:00:00
276.5036293308584,2019-05-20 08:00:00
283.4162200641365,2019-05-22 00:00:00
290.5016255657363,2019-06-03 00:00:00
-119.10566648195186,2019-06-04 20:00:00
294.7865245428302,2019-06-11 20:00:00
-120.86247506256063,2019-06-14 08:00:00
299.1346257798375,2019-06-18 00:00:00
-122.6451965697334,2019-06-27 08:00:00
-121.41874460403606,2019-07-02 00:00:00
-120.2045571579957,2019-07-04 16:00:00
-119.00251158641575,2019-07-08 00:00:00
294.53121617637896,2019-07-15 00:00:00
-120.75779863231537,2019-07-19 08:00:00
-119.55022064599221,2019-07-23 00:00:00
-118.3547184395323,2019-08-09 00:00:00
-117.17117125513698,2019-08-09 20:00:00
-115.99945954258561,2019-08-15 00:00:00
287.09866236790293,2019-08-26 00:00:00
-117.71045157083881,2019-09-02 00:00:00
-116.5333470551304,2019-09-13 00:00:00
288.42003396144776,2019-09-27 00:00:00
295.6305348104839,2019-09-30 00:00:00
303.021298180746,2019-10-07 00:00:00
310.59683063526904,2019-10-10 00:00:00
318.36175140114636,2019-10-14 00:00:00
-130.52831807447,2019-10-23 00:00:00
323.05758723431325,2019-10-24 00:00:00
-132.45361076606844,2019-10-25 00:00:00
-131.12907465840775,2019-10-30 00:00:00
-129.81778391182368,2019-11-04 00:00:00
321.29901518176604,2019-11-06 00:00:00
-131.73259622452312,2019-11-07 00:00:00
326.0381756556947,2019-11-08 04:00:00
334.18913004709134,2019-11-11 00:00:00
342.5438582982643,2019-11-13 00:00:00
351.10745475572094,2019-11-14 16:00:00
-143.9540564498456,2019-11-18 00:00:00
356.28628971336786,2019-11-21 00:00:00
-146.07737878248082,2019-11-22 00:00:00
-144.616604994656,2019-11-27 00:00:00
-143.17043894470945,2019-11-29 04:00:00
-141.73873455526234,2019-12-05 00:00:00
-140.32134720970973,2019-12-06 00:00:00
-138.91813373761264,2019-12-09 00:00:00
-137.5289524002365,2019-12-17 00:00:00
300.0,2020-01-03 00:00:00
-103.0,2020-01-03 08:00:00
305.90999999999997,2020-01-06 00:00:00
-105.0291,2020-01-06 08:00:00
311.936427,2020-01-09 04:00:00
-107.09817326999999,2020-01-10 00:00:00
-106.02719153730001,2020-01-13 00:00:00
-104.966919621927,2020-01-14 00:00:00
-103.91725042570773,2020-01-15 08:00:00
-102.87807792145065,2020-01-15 20:00:00
-101.84929714223615,2020-01-23 08:00:00
-100.83080417081379,2020-01-24 00:00:00
-99.82249612910566,2020-01-28 00:00:00
296.47281350344383,2020-01-30 00:00:00
-101.78899930284906,2020-01-30 16:00:00
-100.77110930982053,2020-02-03 00:00:00
-99.76339821672235,2020-02-05 08:00:00
-98.7657642345551,2020-02-06 00:00:00
-97.77810659220957,2020-02-07 00:00:00
-96.80032552628747,2020-02-10 00:00:00
287.4969668130738,2020-02-10 08:00:00
296.121875817466,2020-02-11 00:00:00
-101.66851069732999,2020-02-12 20:00:00
-100.6518255903567,2020-02-14 00:00:00
298.93592200335934,2020-02-18 00:00:00
-102.63466655448673,2020-02-19 00:00:00
-101.60831988894186,2020-02-19 08:00:00
-100.59223669005246,2020-02-20 00:00:00
298.75894296945575,2020-02-24 00:00:00
-102.57390375284649,2020-02-28 00:00:00
-101.54816471531802,2020-03-02 16:00:00
301.59804920449454,2020-03-09 00:00:00
-103.54866356020979,2020-03-11 00:00:00
-102.51317692460769,2020-03-12 00:00:00
-101.48804515536162,2020-03-12 08:00:00
-100.473164703808,2020-03-13 00:00:00
298.4052991703097,2020-03-16 00:00:00
-102.45248604847302,2020-03-16 20:00:00
-101.4279611879883,2020-03-17 08:00:00
-100.41368157610842,2020-03-19 08:00:00
298.228634281042,2020-03-30 00:00:00
307.17549330947327,2020-03-31 00:00:00
-105.46358603625248,2020-03-31 08:00:00
-104.40895017588996,2020-04-02 12:00:00
-103.36486067413105,2020-04-03 00:00:00
-102.33121206738974,2020-04-03 20:00:00
-101.30789994671586,2020-04-07 00:00:00
-100.29482094724867,2020-04-08 00:00:00
-99.2918727377762,2020-04-09 00:00:00
-98.29895401039843,2020-04-13 00:00:00
-97.31596447029445,2020-04-14 00:00:00
-96.34280482559149,2020-04-15 00:00:00
-95.37937677733558,2020-04-16 00:00:00
-94.42558300956223,2020-04-17 00:00:00
-93.4813271794666,2020-04-17 16:00:00
277.63954172301584,2020-04-20 08:00:00
-95.3229093249021,2020-04-21 16:00:00
-94.36968023165309,2020-04-23 00:00:00
-93.42598342933654,2020-04-23 12:00:00
-92.49172359504317,2020-04-24 00:00:00
274.7004190772782,2020-04-27 00:00:00
-94.31381054986552,2020-04-27 12:00:00
280.1120173331006,2020-04-29 00:00:00
288.5153778530936,2020-04-30 00:00:00
-99.0569463962288,2020-04-30 12:00:00
294.1991307967995,2020-05-04 00:00:00
-101.0083682402345,2020-05-04 08:00:00
-99.99828455783216,2020-05-06 08:00:00
-98.99830171225383,2020-05-07 00:00:00
294.0249560853939,2020-05-08 00:00:00
-100.94856825598524,2020-05-08 16:00:00
-99.93908257342538,2020-05-12 20:00:00
-98.93969174769113,2020-05-14 00:00:00
293.8508844906426,2020-05-14 16:00:00
-100.88880367512064,2020-05-18 20:00:00
-99.87991563836943,2020-05-19 08:00:00
296.64334944595714,2020-05-21 00:00:00
-101.8475499764453,2020-05-22 00:00:00
-100.82907447668086,2020-05-22 08:00:00
299.46235119574214,2020-05-27 00:00:00
-102.81540724387148,2020-05-27 20:00:00
-101.78725317143275,2020-05-29 00:00:00
-100.76938063971842,2020-06-01 00:00:00
-99.76168683332124,2020-06-01 08:00:00
