Time	Open	High	Low	Close	Volume	Spread
2010-02-10 00:00:00	89.805	90.01	89.665	89.73	83576	15
2010-02-10 04:00:00	89.73	89.81	89.515	89.745	93316	12
2010-02-10 08:00:00	89.74	89.78	89.55	89.69	97439	11
2010-02-10 12:00:00	89.685	89.93	89.235	89.83	103164	10
2010-02-10 16:00:00	89.83	90.06	89.795	89.895	81597	9
2010-02-10 20:00:00	89.895	90.04	89.87	89.915	26511	9
2010-02-11 00:00:00	89.915	90.14	89.855	89.93	34625	16
2010-02-11 04:00:00	89.93	90.03	89.815	89.97	55988	7
2010-02-11 08:00:00	89.97	90.035	89.62	89.655	105377	9
2010-02-11 12:00:00	89.66	89.87	89.57	89.79	133107	7
2010-02-11 16:00:00	89.79	89.88	89.65	89.74	105715	8
2010-02-11 20:00:00	89.74	89.835	89.665	89.815	27668	11
2010-02-12 00:00:00	89.815	89.835	89.59	89.665	49704	9
2010-02-12 04:00:00	89.665	90.135	89.59	90.05	48963	8
2010-02-12 08:00:00	90.05	90.345	89.6	90.11	78644	9
2010-02-12 12:00:00	90.11	90.42	89.84	90	98221	8
2010-02-12 16:00:00	89.995	90.12	89.905	89.935	60097	13
2010-02-12 20:00:00	89.935	90.05	89.905	89.92	11386	11
2010-02-14 20:00:00	90.12	90.12	89.975	90.055	6083	28
2010-02-15 00:00:00	90.055	90.23	90.02	90.18	35696	11
2010-02-15 04:00:00	90.18	90.2	90.095	90.145	42849	10
2010-02-15 08:00:00	90.145	90.17	89.935	89.95	66214	9
2010-02-15 12:00:00	89.95	90.04	89.91	89.98	50877	9
2010-02-15 16:00:00	89.98	90.035	89.92	89.965	22725	12
2010-02-15 20:00:00	89.96	90.065	89.925	90.055	10217	14
2010-02-16 00:00:00	90.05	90.065	89.915	89.925	24769	9
2010-02-16 04:00:00	89.925	89.98	89.71	89.825	39224	8
2010-02-16 08:00:00	89.83	90.02	89.785	89.965	66511	7
2010-02-16 12:00:00	89.965	90.32	89.825	90.255	107958	9
2010-02-16 16:00:00	90.255	90.51	90.03	90.15	81342	9
2010-02-16 20:00:00	90.15	90.28	90.08	90.25	26873	10
2010-02-17 00:00:00	90.25	90.37	90.19	90.335	52810	10
2010-02-17 04:00:00	90.33	90.365	90.145	90.24	56876	10
2010-02-17 08:00:00	90.24	90.735	90.225	90.645	98450	9
2010-02-17 12:00:00	90.645	91.155	90.64	90.85	112092	9
2010-02-17 16:00:00	90.85	91.235	90.68	91.125	88212	8
2010-02-17 20:00:00	91.125	91.375	91.065	91.075	38485	12
2010-02-18 00:00:00	91.075	91.155	90.875	90.96	70551	9
2010-02-18 04:00:00	90.96	91	90.815	90.99	61112	8
2010-02-18 08:00:00	90.99	91.055	90.73	90.89	81673	8
2010-02-18 12:00:00	90.89	90.97	90.57	90.965	107331	10
2010-02-18 16:00:00	90.96	91.485	90.935	91.32	93486	9
2010-02-18 20:00:00	91.32	92.085	91.2	91.965	33080	10
2010-02-19 00:00:00	91.965	91.99	91.715	91.72	54527	12
2010-02-19 04:00:00	91.72	91.965	91.675	91.955	68451	11
2010-02-19 08:00:00	91.955	92.05	91.69	91.85	90981	9
2010-02-19 12:00:00	91.855	92.08	91.615	91.985	105273	8
2010-02-19 16:00:00	91.98	92.145	91.695	91.74	77588	9
2010-02-19 20:00:00	91.74	91.745	91.47	91.5	15563	10
2010-02-21 20:00:00	91.43	91.74	91.42	91.62	12017	51
2010-02-22 00:00:00	91.625	91.9	91.585	91.635	56273	10
2010-02-22 04:00:00	91.64	91.72	91.475	91.49	52726	10
2010-02-22 08:00:00	91.49	91.64	91.165	91.27	101968	8
2010-02-22 12:00:00	91.27	91.475	91.125	91.165	88265	11
2010-02-22 16:00:00	91.17	91.265	91.02	91.18	61113	10
2010-02-22 20:00:00	91.18	91.29	91.08	91.26	20779	12
2010-02-23 00:00:00	91.255	91.285	90.935	91.02	32202	9
2010-02-23 04:00:00	91.015	91.13	90.855	90.98	44711	10
2010-02-23 08:00:00	90.98	91.105	90.85	90.96	93479	10
2010-02-23 12:00:00	90.96	90.98	90.115	90.195	110640	10
2010-02-23 16:00:00	90.195	90.27	89.92	90.175	85295	10
2010-02-23 20:00:00	90.185	90.275	90.14	90.165	23235	11
2010-02-24 00:00:00	90.165	90.305	90.095	90.22	34214	10
2010-02-24 04:00:00	90.22	90.36	90.17	90.325	43684	9
2010-02-24 08:00:00	90.325	90.34	89.945	90.09	102712	9
2010-02-24 12:00:00	90.09	90.26	89.76	89.93	83936	9
2010-02-24 16:00:00	89.93	90.27	89.89	90.14	58501	10
2010-02-24 20:00:00	90.145	90.315	90.115	90.285	18950	10
2010-02-25 00:00:00	90.285	90.29	89.465	89.59	43407	10
2010-02-25 04:00:00	89.59	89.73	89.23	89.285	72665	9
2010-02-25 08:00:00	89.285	89.5	89.21	89.39	88447	7
2010-02-25 12:00:00	89.39	89.51	88.915	88.915	95205	8
2010-02-25 16:00:00	88.915	89.185	88.8	89.13	82673	8
2010-02-25 20:00:00	89.13	89.295	89.04	89.29	35150	9
2010-02-26 00:00:00	89.28	89.5	89.18	89.325	58742	8
2010-02-26 04:00:00	89.325	89.4	89.22	89.33	45370	7
2010-02-26 08:00:00	89.33	89.375	89.17	89.27	78888	10
2010-02-26 12:00:00	89.27	89.315	88.81	88.88	85098	9
2010-02-26 16:00:00	88.88	89.01	88.74	88.865	61456	9
2010-02-26 20:00:00	88.865	88.97	88.795	88.935	6625	10
2010-02-28 20:00:00	88.845	89.095	88.84	88.87	10502	45
2010-03-01 00:00:00	88.865	89.2	88.81	89.09	48628	11
2010-03-01 04:00:00	89.09	89.31	89.04	89.24	51684	8
2010-03-01 08:00:00	89.24	89.365	89.205	89.255	84422	9
2010-03-01 12:00:00	89.25	89.41	88.98	89.39	91004	9
2010-03-01 16:00:00	89.39	89.475	89.035	89.04	61459	10
2010-03-01 20:00:00	89.04	89.18	89.005	89.175	25395	10
2010-03-02 00:00:00	89.175	89.35	89.165	89.34	34444	9
2010-03-02 04:00:00	89.34	89.37	89.21	89.235	44687	9
2010-03-02 08:00:00	89.24	89.29	88.89	89.105	94809	9
2010-03-02 12:00:00	89.105	89.24	88.965	89.02	92930	9
2010-03-02 16:00:00	89.02	89.045	88.55	88.65	72159	9
2010-03-02 20:00:00	88.65	88.845	88.645	88.765	25175	11
2010-03-03 00:00:00	88.765	88.765	88.47	88.7	58499	9
2010-03-03 04:00:00	88.71	88.95	88.68	88.795	56664	8
2010-03-03 08:00:00	88.795	88.99	88.58	88.765	84766	8
2010-03-03 12:00:00	88.765	88.87	88.52	88.525	83032	9
2010-03-03 16:00:00	88.525	88.69	88.32	88.385	69195	11
2010-03-03 20:00:00	88.385	88.61	88.365	88.595	29276	10
